year,semester,campus,course_prefix,course_num,total_enrolled,passed_count,failed_count,fail_ratio,is_offered
2023,Fall,Byblos,CSC,599H,1,1,0,0,1
2023,Fall,Byblos,CSC,688J,6,6,0,0,1
2023,Fall,Byblos,CSC,688O,4,3,0,0.25,1
2023,Fall,Byblos,BIF,498HB,2,2,0,0,1
2023,Fall,Byblos,BIF,498HH,5,5,0,0,1
2023,Fall,Byblos,CSC,498HN,1,1,0,0,1
2023,Fall,Online,CSC,617O,11,10,1,0.090909091,1
2023,Fall,Online,CSC,618O,12,11,1,0.083333333,1
2023,Fall,Online,CSC,638O,6,6,0,0,1
2023,Fall,Online,CSC,660O,6,5,1,0.166666667,1
2023,Fall,Online,CSC,698O,5,4,1,0.2,1
2024,Fall,Beirut,BIF,205,31,22,7,0.290322581,1
2024,Fall,Beirut,BIF,243,21,11,5,0.476190476,1
2024,Fall,Beirut,BIF,245,14,10,2,0.285714286,1
2024,Fall,Beirut,BIF,310,13,10,1,0.230769231,1
2024,Fall,Beirut,BIF,345,22,22,0,0,1
2024,Fall,Beirut,BIF,375,13,11,0,0.153846154,1
2024,Fall,Beirut,BIF,513,31,26,5,0.161290323,1
2024,Fall,Beirut,BIF,524,30,27,3,0.1,1
2024,Fall,Beirut,BIF,599,13,9,0,0.307692308,1
2024,Fall,Beirut,CSC,201,198,187,4,0.055555556,1
2024,Fall,Beirut,CSC,243,139,92,37,0.338129496,1
2024,Fall,Beirut,CSC,245,45,33,10,0.266666667,1
2024,Fall,Beirut,CSC,310,125,92,15,0.264,1
2024,Fall,Beirut,CSC,320,32,29,1,0.09375,1
2024,Fall,Beirut,CSC,322,29,27,1,0.068965517,1
2024,Fall,Beirut,CSC,326,129,117,12,0.093023256,1
2024,Fall,Beirut,CSC,375,86,83,3,0.034883721,1
2024,Fall,Beirut,CSC,380,38,35,1,0.078947368,1
2024,Fall,Beirut,CSC,430,81,77,1,0.049382716,1
2024,Fall,Beirut,CSC,431,80,72,6,0.1,1
2024,Fall,Beirut,CSC,433,41,41,0,0,1
2024,Fall,Beirut,CSC,435,39,36,0,0.076923077,1
2024,Fall,Beirut,CSC,437,10,10,0,0,1
2024,Fall,Beirut,CSC,443,58,57,1,0.017241379,1
2024,Fall,Beirut,CSC,447,123,115,6,0.06504065,1
2024,Fall,Beirut,CSC,460,13,10,0,0.230769231,1
2024,Fall,Beirut,CSC,461,82,82,0,0,1
2024,Fall,Beirut,CSC,462,41,41,0,0,1
2024,Fall,Beirut,CSC,463,1,1,0,0,1
2024,Fall,Beirut,CSC,490,55,53,2,0.036363636,1
2024,Fall,Beirut,CSC,491,47,43,0,0.085106383,1
2024,Fall,Beirut,CSC,598,18,18,0,0,1
2024,Fall,Beirut,CSC,599,88,84,0,0.045454545,1
2024,Fall,Beirut,CSC,600,7,7,0,0,1
2024,Fall,Beirut,CSC,611,18,14,2,0.222222222,1
2024,Fall,Beirut,CSC,616,13,12,0,0.076923077,1
2024,Fall,Beirut,CSC,660,15,14,0,0.066666667,1
2024,Fall,Beirut,CSC,698,2,1,0,0.5,1
2024,Fall,Beirut,CSC,699,10,6,0,0.4,1
2024,Fall,Beirut,MTH,101,66,36,20,0.454545455,1
2024,Fall,Beirut,MTH,102,38,14,12,0.631578947,1
2024,Fall,Beirut,MTH,201,379,229,106,0.395778364,1
2024,Fall,Beirut,MTH,206,37,27,7,0.27027027,1
2024,Fall,Beirut,MTH,207,254,198,37,0.220472441,1
2024,Fall,Beirut,MTH,301,27,23,3,0.148148148,1
2024,Fall,Beirut,MTH,303,21,15,4,0.285714286,1
2024,Fall,Beirut,MTH,304,82,73,6,0.109756098,1
2024,Fall,Beirut,MTH,305,47,40,3,0.14893617,1
2024,Fall,Beirut,MTH,307,16,12,3,0.25,1
2024,Fall,Beirut,MTH,311,20,18,0,0.1,1
2024,Fall,Beirut,MTH,312,19,19,0,0,1
2024,Fall,Beirut,MTH,400,11,11,0,0,1
2024,Fall,Beirut,MTH,401,13,13,0,0,1
2024,Fall,Beirut,MTH,409,9,9,0,0,1
2024,Fall,Beirut,MTH,498,1,1,0,0,1
2024,Fall,Beirut,STA,102,13,5,6,0.615384615,1
2024,Fall,Beirut,STA,205,123,74,28,0.398373984,1
2024,Fall,Beirut,STA,302,76,59,13,0.223684211,1
2024,Fall,Beirut,BIF,243B,21,12,6,0.428571429,1
2024,Fall,Beirut,BIF,599H,5,3,0,0.4,1
2024,Fall,Beirut,CSC,243B,142,95,34,0.330985915,1
2024,Fall,Beirut,CSC,245B,34,22,12,0.352941176,1
2024,Fall,Beirut,CSC,310B,113,69,28,0.389380531,1
2024,Fall,Beirut,CSC,498H,5,5,0,0,1
2024,Fall,Beirut,CSC,498L,1,1,0,0,1
2024,Fall,Beirut,CSC,598H,1,1,0,0,1
2024,Fall,Beirut,CSC,599H,2,2,0,0,1
